record_number,paid,outstanding,scrape_status
BA-202500732,0.0,0.0,success
BA-202500727,1460.0,0.0,success
BA-202500679,3650.0,0.0,success
BA-202500664,113.0,0.0,success
BA-202500627,113.0,0.0,success
BA-202500586,0.0,0.0,success
BA-202500570,0.0,0.0,failed
BA-202500562,14580.0,0.0,success
BA-202500483,0.0,6480.0,success
BA-202500458,1260.0,0.0,success
BA-202500429,0.0,0.0,success
BA-202500427,0.0,0.0,failed
BA-202500424,0.0,0.0,failed
BA-202500416,0.0,0.0,failed
BA-202500390,0.0,10070.0,success
BA-202500386,0.0,48740.0,success
BA-202500379,900.0,0.0,success
BA-202500367,6120.0,0.0,success
BA-202500357,7525.0,0.0,success
BA-202500355,0.0,1760.0,success
BA-202500344,4860.0,0.0,success
BA-202500315,0.0,0.0,success
BA-202500304,14730.0,0.0,success
BA-202500286,4320.0,0.0,success
BA-202500277,0.0,2130.0,success
BA-202500247,0.0,0.0,success
BA-202500244,17290.0,0.0,success
BA-202500230,0.0,0.0,success
BA-202500226,0.0,0.0,success
BA-202500222,1500.0,0.0,success
BA-202500212,0.0,0.0,success
BA-202500173,1940.0,0.0,success
BA-202500170,2300.0,0.0,success
BA-202500151,2000.0,0.0,success
BA-202500130,1740.0,0.0,success
BA-202500031,3850.0,0.0,success
BA-202500028,3140.0,0.0,success
BA-202500017,0.0,3020.0,success
BA-202500008,3760.0,0.0,success
BA-202500007,2980.0,0.0,success
BA-202500001,0.0,13200.0,success
